K,I-Index,Dunn (rerata),Dunn (sd),Ketegasan partisi,DESC,PESC,Komposit +DESC,Komposit −DESC,DESC-N,PESC-N,Kontiguitas,Homogenitas,PESC-N aproksimasi
2,1.252006,0.006134,0.003175,0.340924,0.043645,25.268761337601862,0.355556,0.416667,0.02098975389181172,0.11121789425821176,0.030309945718569587,0.7538501391681163,False
3,1.332573,0.003278,0.002461,0.300581,0.069775,10.233920074615462,0.308333,0.329861,0.015017126064115963,0.06843276587404369,0.0204141528534066,0.8069560096013372,False
4,15.218245,0.010543,0.004439,0.456545,74.871358,203.57190795990292,0.794444,0.909722,0.01424835722646247,0.060958720091382514,0.01889855776450963,0.8478493500690791,False
5,11.823848,0.010744,0.003087,0.412315,77.450441,671.1851933665064,0.769444,0.850694,0.012128767765553203,0.05835389113899828,0.014849624412300257,0.8706666983830527,False
6,9.052664,0.00766,0.003543,0.375602,78.861374,5.937881180125511,0.655556,0.680556,0.012155550672560833,0.055827936414858725,0.01484806483916513,0.881826968527268,False
7,7.343519,0.008995,0.004105,0.365139,80.58839,15382.194711477909,0.630556,0.621528,0.015781225454894177,0.06769291541812919,0.019470728202642725,0.873953625113355,False
8,6.105443,0.007603,0.001522,0.354122,82.257914,1298.7422175821619,0.516667,0.451389,0.015039598758534004,0.060643025696010364,0.01834559337544233,0.8855355313146931,False
9,5.122647,0.007566,0.00286,0.341355,84.375871,5337.876733023542,0.447222,0.336806,0.014874816491995648,0.059444762409804924,0.018010455632587005,0.8910589500934748,False
10,4.405607,0.007651,0.00339,0.334257,85.247735,5088.738133574677,0.422222,0.277778,0.01477772909446924,0.05698242776498167,0.01764755590144724,0.8970251447521762,False
K yang ditunjuk,K = 4,K = 5,,K = 4,K = 10,K = 7,,,K = 2,K = 2,,,
