K,Peringkat,Klaster,Level,v_i,V_i,d̄_i,Kontribusi V²/d̄²,% DESC,% baris penalti
3,1,0,baseline,2862,0.1208104685521317,1.331566197347723,0.008231587781098929,11.797318718332592,0.0
3,2,0,rendah,2859,0.12068383284086112,1.3315303552556,0.008214782060835164,11.773233153856438,0.0
3,3,2,tinggi,3,0.0001376083665886886,0.0025238256368745634,0.0029728362256173637,4.260599216537886,100.0
3,4,2,rendah,576,0.02642080638502821,0.5356542422817787,0.0024328931714081682,3.4867654836483344,0.0
3,5,2,baseline,572,0.02623732856290996,0.5365252561033299,0.002391436682788472,3.4273510156021474,0.0
3,6,2,sedang,749,0.03435622219164258,0.7425236507908688,0.0021408696376882747,3.068244198063817,1.0680907877169559
3,7,2,tinggi,945,0.04334663547543691,1.0010683286298827,0.0018749226001572544,2.687095135770643,2.6455026455026456
3,8,2,tinggi,1165,0.053437915691940736,1.3486481254431435,0.001570007455510652,2.250097895493115,4.721030042918455
3,9,1,rendah,1045,0.030191840980006934,0.8649177156706598,0.001218511424926818,1.7463420210131273,0.0
3,10,1,baseline,1042,0.030105165838437534,0.8632537867207943,0.0012162001808756454,1.7430296001980154,0.0
4,1,3,rendah,2,0.0014398848092152627,0.0003445772772544481,17.461527402184917,23.356336167082674,100.0
4,2,3,tinggi,2,0.0014398848092152627,0.0003445772772544481,17.461527402184917,23.356336167082674,100.0
4,3,3,sedang,2,0.0014398848092152627,0.0003445772772544481,17.461527402184917,23.356336167082674,100.0
4,4,3,baseline,2,0.0014398848092152627,0.0003445772772544481,17.461527402184917,23.356336167082674,100.0
4,5,3,tinggi,4,0.0028797696184305254,0.003814907657179312,0.569832783313509,0.762201710053689,100.0
4,6,3,tinggi,3,0.0021598272138228943,0.0030448700301248383,0.5031535009222493,0.6730122766759865,100.0
4,7,3,rendah,2,0.0014398848092152627,0.002291100663436677,0.3949727717531147,0.5283109902949181,100.0
4,8,3,baseline,2,0.0014398848092152627,0.002291100663436677,0.3949727717531147,0.5283109902949181,100.0
4,9,3,sedang,2,0.0014398848092152627,0.002291100663436677,0.3949727717531147,0.5283109902949181,100.0
4,10,3,tinggi,2,0.0014398848092152627,0.0026254615784657718,0.30077668303202554,0.40231539648914294,100.0
