Klaster,Variabel,Rerata,Median,P25,P75,P90,Baris penalti,% baris penalti
0,Waktu TES Pendidikan (menit),6.13034,5.213064,3.247333,7.749596,10.42626,21,0.088645
0,Waktu TES Kesehatan (menit),24.8405,19.586783,11.527241,32.233557,49.319849,25,0.10553
0,Waktu TES Pemerintahan (menit),10.445381,8.58375,5.050203,13.310753,19.108041,21,0.088645
0,Waktu TES Tempat Ibadah (menit),5.46577,4.571402,2.837355,6.779278,9.284676,21,0.088645
0,Waktu TES GOR/Gedung Serbaguna (menit),32.39403,20.737221,11.136883,40.300449,65.220926,250,1.055298
0,Waktu TES minimum (menit),3.73519,3.115833,1.87222,4.573231,6.001588,21,0.088645
1,Waktu TES Pendidikan (menit),10.409438,9.1727,6.278647,12.363945,15.562574,75,0.216688
1,Waktu TES Kesehatan (menit),43.838937,37.179917,26.133604,53.799311,74.508527,150,0.433376
1,Waktu TES Pemerintahan (menit),23.145409,20.128808,14.103153,27.233689,36.368605,80,0.231134
1,Waktu TES Tempat Ibadah (menit),8.342875,6.948908,4.515809,9.796365,12.779358,79,0.228245
1,Waktu TES GOR/Gedung Serbaguna (menit),48.025724,36.900173,24.447532,53.447868,78.905543,560,1.617936
1,Waktu TES minimum (menit),6.659596,5.644591,3.773519,7.613574,9.47023,75,0.216688
2,Waktu TES Pendidikan (menit),50.644121,16.152023,11.688906,22.918973,40.05095,1908,8.751892
2,Waktu TES Kesehatan (menit),99.589257,54.095872,39.363891,81.950521,403.289718,2738,12.559057
2,Waktu TES Pemerintahan (menit),78.754848,34.916643,25.1534,50.554773,403.289718,2523,11.572864
2,Waktu TES Tempat Ibadah (menit),37.207786,13.165101,9.591971,18.553524,31.812844,1281,5.875877
2,Waktu TES GOR/Gedung Serbaguna (menit),126.761152,64.469402,40.549045,126.879161,403.289718,3974,18.228522
2,Waktu TES minimum (menit),35.559426,11.702287,8.614579,16.358459,28.944955,1264,5.797899
