K,ARI subsampel (rerata),ARI subsampel (sd),ARI inisialisasi (rerata),ARI inisialisasi (sd),Silhouette,Ketegasan partisi,Size entropy,Klaster terbesar (%),Setara secara stabilitas dengan K terbaik,DESC-N,PESC-N,Kontiguitas,Homogenitas
2,0.959259,0.002696,1.0,0.0,0.243172,0.340924,0.692601,51.652248,True,0.02098975389181172,0.11121789425821176,0.030309945718569587,0.7538501391681163
3,0.942151,0.007449,0.998919,0.000795,0.155354,0.300581,1.077049,43.209368,False,0.015017126064115963,0.06843276587404369,0.0204141528534066,0.8069560096013372
4,0.94811,0.003807,1.0,0.0,0.200654,0.456545,1.152574,39.028501,False,0.01424835722646247,0.060958720091382514,0.01889855776450963,0.8478493500690791
5,0.942969,0.004458,0.999986,1.9e-05,0.174812,0.412315,1.43711,28.946481,False,0.012128767765553203,0.05835389113899828,0.014849624412300257,0.8706666983830527
6,0.814866,0.142468,0.775712,0.166932,0.16038,0.375602,1.653586,24.829282,False,0.012155550672560833,0.055827936414858725,0.01484806483916513,0.881826968527268
7,0.9162,0.018073,0.944088,0.061424,0.132067,0.365139,1.830801,20.725816,False,0.015781225454894177,0.06769291541812919,0.019470728202642725,0.873953625113355
8,0.899336,0.03051,0.887941,0.186887,0.13,0.354122,1.981145,18.40755,False,0.015039598758534004,0.060643025696010364,0.01834559337544233,0.8855355313146931
9,0.722421,0.155837,0.753361,0.180836,0.123367,0.341355,2.1121,16.185411,False,0.014874816491995648,0.059444762409804924,0.018010455632587005,0.8910589500934748
10,0.812422,0.137064,0.811219,0.097055,0.1021,0.334257,2.228223,14.551265,False,0.01477772909446924,0.05698242776498167,0.01764755590144724,0.8970251447521762
K yang ditunjuk,K = 2,,,,K = 2,K = 4,,,,K = 2,K = 2,,
