Level,Batas waktu (menit),Terjangkau (grid),Terjangkau (%),Jauh (grid),Jauh (%),Terputus (grid),Terputus (%),Tergenang (grid),Tergenang (%)
Baseline,20,21840,96.326027,722,3.184404,111,0.489569,0,0.0
Baseline,30,22357,98.606272,205,0.904159,111,0.489569,0,0.0
Baseline,40,22529,99.364883,33,0.145548,111,0.489569,0,0.0
Rendah,20,21755,95.951131,753,3.321131,126,0.555727,39,0.172011
Rendah,30,22254,98.151987,254,1.120275,126,0.555727,39,0.172011
Rendah,40,22479,99.144357,29,0.127905,126,0.555727,39,0.172011
Sedang,20,18510,81.638954,286,1.261412,502,2.214087,3375,14.885547
Sedang,30,18732,82.618092,64,0.282274,502,2.214087,3375,14.885547
Sedang,40,18792,82.882724,4,0.017642,502,2.214087,3375,14.885547
Tinggi,20,14189,62.581044,658,2.90213,651,2.871257,7175,31.64557
Tinggi,30,14529,64.080625,318,1.402549,651,2.871257,7175,31.64557
Tinggi,40,14676,64.728973,171,0.754201,651,2.871257,7175,31.64557
