Klaster,Variabel,Rerata,Median,P25,P75,Baris penalti,% baris penalti
0,Waktu TES Pendidikan (menit),7.207653,6.253365,3.979114,9.172417,33,0.084298
0,Waktu TES Kesehatan (menit),30.795621,25.270249,14.940102,39.790225,61,0.155823
0,Waktu TES Pemerintahan (menit),14.104349,11.708665,6.895008,18.408295,33,0.084298
0,Waktu TES Tempat Ibadah (menit),6.049948,5.111394,3.197726,7.511649,35,0.089407
0,Waktu TES GOR/Gedung Serbaguna (menit),37.615576,27.105328,14.626392,45.319582,503,1.284901
0,Waktu TES minimum (menit),4.314778,3.718047,2.315719,5.339419,33,0.084298
1,Waktu TES Pendidikan (menit),32.992254,12.988295,9.278618,17.915054,2003,4.890614
1,Waktu TES Kesehatan (menit),75.641139,47.318686,33.393627,69.785898,2886,7.046587
1,Waktu TES Pemerintahan (menit),54.557323,28.282012,19.955682,40.88916,2617,6.389784
1,Waktu TES Tempat Ibadah (menit),24.865302,10.549901,7.207977,14.778227,1382,3.374353
1,Waktu TES GOR/Gedung Serbaguna (menit),91.303962,49.580425,32.568113,85.294536,4316,10.538138
1,Waktu TES minimum (menit),23.127041,8.874222,6.293473,12.550423,1357,3.313312
