Klaster,Variabel,Rerata,Median,P25,P75,P90,Baris penalti,% baris penalti
0,Waktu TES Pendidikan (menit),6.204088,5.362161,3.369821,7.922489,10.640976,16,0.067599
0,Waktu TES Kesehatan (menit),24.906431,19.697403,11.638952,32.439216,49.609681,21,0.088724
0,Waktu TES Pemerintahan (menit),10.546331,8.822401,5.239196,13.544263,19.383172,16,0.067599
0,Waktu TES Tempat Ibadah (menit),5.550053,4.73818,2.988779,6.936558,9.530255,16,0.067599
0,Waktu TES GOR/Gedung Serbaguna (menit),32.496737,20.793484,11.305698,40.183404,64.819737,255,1.077359
0,Waktu TES minimum (menit),3.782087,3.253364,1.99619,4.732126,6.15986,16,0.067599
1,Waktu TES Pendidikan (menit),10.520386,9.265905,6.423291,12.518609,15.759743,72,0.2072
1,Waktu TES Kesehatan (menit),43.983191,37.342068,26.263094,53.987909,74.940661,149,0.428789
1,Waktu TES Pemerintahan (menit),23.246189,20.251248,14.142767,27.409389,36.567057,77,0.221589
1,Waktu TES Tempat Ibadah (menit),8.433049,7.070076,4.614606,9.918267,12.939572,76,0.218711
1,Waktu TES GOR/Gedung Serbaguna (menit),47.901949,36.922142,24.629867,53.494997,78.918957,541,1.556879
1,Waktu TES minimum (menit),6.722031,5.751538,3.881709,7.726998,9.594691,71,0.204322
2,Waktu TES Pendidikan (menit),51.693397,16.266267,11.867394,23.199772,41.521564,1948,8.983168
2,Waktu TES Kesehatan (menit),100.79006,54.324826,39.77386,82.634738,403.86917,2777,12.806087
2,Waktu TES Pemerintahan (menit),79.741285,35.17216,25.302908,50.784316,403.86917,2557,11.791561
2,Waktu TES Tempat Ibadah (menit),38.312954,13.326972,9.755203,18.854746,32.41391,1325,6.110214
2,Waktu TES GOR/Gedung Serbaguna (menit),128.119526,64.867844,41.091639,127.974896,403.86917,4023,18.551994
2,Waktu TES minimum (menit),36.56904,11.864931,8.787796,16.527046,29.747123,1303,6.008762
