id_grid,Level,T_aktual v5,DI v5,Status v6,T_aktual v6,DI v6
11219,Baseline,"31,18","8,94",TAS,"31,53","9,05"
14598,Baseline,"51,32","82,11",TAS,"51,32","82,11"
16216,Baseline,"35,02","11,30",TAS,"35,02","11,30"
16438,Baseline,"46,66","16,90",TAS,"46,69","16,91"
17011,Baseline,"126,76","37,00",Non-TAS,"8,48","2,48"
17227,Baseline,"31,74","7,06",TAS,"31,72","7,05"
17290,Baseline,"64,62","13,10",TAS,"64,85","13,15"
17409,Baseline,"45,48","14,24",TAS,"45,42","14,22"
17432,Baseline,"31,95","9,85",TAS,"32,16","9,91"
17558,Baseline,"71,14","17,52",TAS,"71,19","17,53"
17663,Baseline,"38,89","16,69",TAS,"38,99","16,74"
17845,Baseline,"39,30","21,61",TAS,"39,70","21,83"
18284,Baseline,"96,91","22,93",TAS,"96,95","22,94"
18583,Baseline,"31,06","6,91",TAS,"31,27","6,96"
19702,Baseline,"95,08","20,11",TAS,"94,40","19,97"
19779,Baseline,"93,29","25,15",TAS,"92,90","25,04"
20081,Baseline,"54,65","14,26",TAS,"51,51","13,44"
20950,Baseline,"54,84","12,34",TAS,"54,90","12,35"
20989,Baseline,"112,81","33,14",TAS,"112,99","33,19"
21421,Baseline,"51,33","19,12",TAS,"51,71","19,27"
8895,Rendah,"30,15","48,24",Non-TAS,"0,63","1,01"
11219,Rendah,"31,18","8,94",TAS,"31,53","9,05"
14598,Rendah,"51,32","82,11",TAS,"51,32","82,11"
16778,Rendah,"32,68","11,15",Non-TAS,"4,63","1,58"
