id_grid,id_tes,T_aktual v5,T_aktual v6,Selisih (menit),DI v5,DI v6,Status v5,Status v6
20764,ibadah-471,125.507,6.935,-118.572,27.7026,1.5308,TAS,Non-TAS
17011,ibadah-471,126.757,8.484,-118.27300000000001,36.9984,2.4763,TAS,Non-TAS
21538,ibadah-44,16.992,126.629,109.637,1.6903,12.5963,Non-TAS,Non-TAS
15246,ibadah-44,136.501,27.816,-108.685,13.0366,2.6566,Non-TAS,Non-TAS
21663,ibadah-44,9.402,116.892,107.49,2.5414,31.5968,Non-TAS,TAS
12942,ibadah-44,32.262,136.191,103.929,3.2249,13.6139,Non-TAS,Non-TAS
18133,ibadah-44,7.853,110.385,102.53200000000001,1.5243,21.426,Non-TAS,Non-TAS
15236,pemerintahan-106,44.664,119.938,75.274,3.5159,9.4414,Non-TAS,Non-TAS
9632,pemerintahan-106,70.385,3.468,-66.917,25.039,1.2338,TAS,Non-TAS
1198,pemerintahan-106,4.774,67.498,62.724000000000004,1.6573,23.431,Non-TAS,TAS
