id_grid,level_TAS,TES terdekat,komponen_grid,komponen_TES,komponen_sama,near_miss_2m_dalam_100m,perpotongan_dalam_100m,klasifikasi
256,"Baseline, Rendah",SLB Rela Bhakti II Wates (C),0,0,True,0,0,tidak terdeteksi artefak
712,"Baseline, Rendah",Masjid Baiturrohman,0,0,True,0,0,tidak terdeteksi artefak
1152,"Baseline, Rendah, Sedang",Masjid AL ANWAR.PALIHAN 1,0,0,True,0,0,tidak terdeteksi artefak
1213,Sedang,GKJ Sentolo Pepanthan Jangkang,0,0,True,0,0,tidak terdeteksi artefak
1536,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
1804,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
2005,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
2919,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
3043,"Baseline, Rendah",SMP VIP PESAWAT,0,0,True,0,0,tidak terdeteksi artefak
3083,"Baseline, Rendah",Sendangsari Badminton Arena (SBA),0,0,True,0,0,tidak terdeteksi artefak
3591,Rendah,Mi Muhammadiyah Garongan,0,0,True,0,0,tidak terdeteksi artefak
4108,Sedang,"Saint Veronica Catholic Chapel, Kedungsari",0,0,True,0,0,tidak terdeteksi artefak
4199,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
4484,"Baseline, Rendah, Sedang, Tinggi",SD Clereng,0,0,True,0,0,tidak terdeteksi artefak
5108,Sedang,MASJID Bani Kadarusman (LDII),0,0,True,0,0,tidak terdeteksi artefak
5481,"Baseline, Rendah, Sedang, Tinggi",SD Clereng,0,0,True,0,0,tidak terdeteksi artefak
5878,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
5970,Sedang,Masjid An Nur,0,0,True,0,0,tidak terdeteksi artefak
6084,"Baseline, Rendah",SMP VIP PESAWAT,0,0,True,0,0,tidak terdeteksi artefak
6380,Tinggi,DKM Masjid Muqorrobin,0,0,True,0,0,tidak terdeteksi artefak
6480,"Baseline, Rendah",Masjid Baiturrohman,0,0,True,0,0,tidak terdeteksi artefak
6528,"Baseline, Rendah",MASJID BANGUN UMMAH,0,0,True,0,0,tidak terdeteksi artefak
6574,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
6705,Tinggi,"Saint Joseph Catholic Chapel, Tukharjo",0,0,True,0,0,tidak terdeteksi artefak
6919,Sedang,Masjid An Nur,0,0,True,0,0,tidak terdeteksi artefak
7129,Sedang,Masjid An Nur,0,0,True,0,0,tidak terdeteksi artefak
7232,"Baseline, Rendah",SMP VIP PESAWAT,0,0,True,0,0,tidak terdeteksi artefak
7393,"Baseline, Rendah, Sedang, Tinggi",SD Clereng,0,0,True,0,0,tidak terdeteksi artefak
7635,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
7644,"Baseline, Rendah",MASJID BANGUN UMMAH,0,0,True,0,0,tidak terdeteksi artefak
7834,"Baseline, Rendah, Sedang, Tinggi",Masjid Al-Ihsan,0,0,True,0,0,tidak terdeteksi artefak
7857,"Baseline, Rendah",SMP VIP PESAWAT,0,0,True,0,0,tidak terdeteksi artefak
7993,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
8286,"Baseline, Rendah",Masjid Al Iman,0,0,True,0,0,tidak terdeteksi artefak
8538,"Baseline, Rendah",Masjid Baiturrohman,0,0,True,0,0,tidak terdeteksi artefak
8666,Sedang,GKJ Sentolo Pepanthan Jangkang,0,0,True,0,0,tidak terdeteksi artefak
8750,"Baseline, Rendah, Sedang",Masjid At Taqwa,0,0,True,0,0,tidak terdeteksi artefak
8895,"Baseline, Rendah, Sedang",BPP Sentolo,0,0,True,0,0,tidak terdeteksi artefak
8934,"Baseline, Rendah",Masjid Baiturrohman,0,0,True,0,0,tidak terdeteksi artefak
8955,"Baseline, Rendah",MASJID BANGUN UMMAH,0,0,True,0,0,tidak terdeteksi artefak
9017,Tinggi,MASJID JAMI' AL-JIHAD KLUWIH,0,0,True,0,0,tidak terdeteksi artefak
9038,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
9061,"Baseline, Rendah",Masjid Baiturrohman,0,0,True,0,0,tidak terdeteksi artefak
9273,Sedang,MASJID Bani Kadarusman (LDII),0,0,True,0,0,tidak terdeteksi artefak
9358,"Sedang, Tinggi",Masjid Baiturohman Sentolo Jangkang Lor,0,0,True,0,0,tidak terdeteksi artefak
9632,"Baseline, Rendah",Kantor Desa Wisata Glagah,0,0,True,0,0,tidak terdeteksi artefak
9702,"Baseline, Rendah, Sedang, Tinggi",Masjid Al-Huda,0,0,True,0,0,tidak terdeteksi artefak
9956,Sedang,Koramil Sentolo,0,0,True,0,0,tidak terdeteksi artefak
10107,Sedang,SD Negeri 5 Wates,0,0,True,0,0,tidak terdeteksi artefak
10114,"Baseline, Rendah",Masjid AL ANWAR.PALIHAN 1,0,0,True,0,0,tidak terdeteksi artefak
10281,Sedang,Masjid An Nur,0,0,True,0,0,tidak terdeteksi artefak
10293,"Baseline, Rendah",Sendangsari Badminton Arena (SBA),0,0,True,0,0,tidak terdeteksi artefak
10405,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
10530,Sedang,GKJ Sentolo Pepanthan Jangkang,0,0,True,0,0,tidak terdeteksi artefak
10545,"Baseline, Rendah, Sedang, Tinggi",Masjid Ar Rahmah,0,0,True,0,0,tidak terdeteksi artefak
10663,Tinggi,GKJ Sentolo Pepanthan Jangkang,0,0,True,0,0,tidak terdeteksi artefak
10701,Sedang,SMP Muhammadiyah 2 Sentolo,0,0,True,0,0,tidak terdeteksi artefak
10745,Sedang,Masjid An Nur,0,0,True,0,0,tidak terdeteksi artefak
11219,"Baseline, Rendah, Sedang",Masjid al afwa,0,0,True,0,0,tidak terdeteksi artefak
11668,Sedang,Masjid Nurjihad,0,0,True,0,0,tidak terdeteksi artefak
