i,j,x,y,khusus
1284,2641,413092.40756517067,9118235.124273706,True
1284,3011,413100.77183324983,9118240.810354494,True
41701,42826,416290.8884328648,9122287.550235305,True
75148,75263,396781.8776941917,9126819.775820151,True
75148,76363,396785.5436615018,9126828.250457626,True
75264,76250,396752.57002024987,9126841.192312216,True
75264,76747,396741.0921182102,9126848.896811722,True
75265,76742,396726.92126987735,9126858.209223807,True
75270,76233,396060.15506456525,9127118.688075397,True
75270,76739,396044.32724412763,9127124.849672893,True
75271,76300,396015.57590698637,9127137.414544411,True
76172,76314,396543.59061220556,9127576.672505252,True
76172,76533,396543.08647723455,9127579.2398891,True
76184,76321,396663.62468457915,9127532.18022499,True
76184,76529,396666.0988277488,9127534.173972027,True
76214,76343,396764.4323985559,9127054.494503414,True
76224,76563,396047.1770867659,9126995.549471729,True
76233,76356,396063.3416347712,9127127.049417732,True
76250,76362,396755.66663171,9126849.912443599,True
76253,76747,396808.0901433722,9127034.740153596,True
76270,76295,396603.0584073212,9127100.734230619,True
76291,76295,396607.4925392605,9127113.110967528,True
76300,76355,396018.56618631585,9127145.86788002,True
76338,76368,396157.0369072646,9127280.051349856,True
76343,76742,396796.2422089789,9127042.225005109,True
76356,76739,396047.5129169584,9127133.20697389,True
76361,76742,396730.14971566113,9126866.779289085,True
76362,76747,396744.22790653864,9126857.595058884,True
76368,76410,396111.0308965126,9127297.098429274,True
76368,76547,396126.0380584808,9127291.5376715,True
148811,148892,413631.70582698623,9132851.92614162,True
148814,151093,413643.16447746946,9132817.90318644,True
150885,151081,413628.6410473913,9132910.055298138,True
